COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
26075,49201,0.251778435,0.252474357,0.352830189,0.255040649
26075,49204,0.021834119,0.097894547,0.000754717,0.026238997
26075,49251,0.001678523,0.000179953,0.000000000,0.001525104
26075,49277,0.019183119,0.003958971,0.001886792,0.017616755
26075,49254,0.020688461,0.032031672,0.020754717,0.021447528
26075,49259,0.017198199,0.004138924,0.002641509,0.015863485
26075,48118,0.000226467,0.000179953,0.000000000,0.000216156
26075,49252,0.000373005,0.000000000,0.000377358,0.000348252
26075,49285,0.002717609,0.001619579,0.000754717,0.002581869
26075,49269,0.033517172,0.007558035,0.007169811,0.030946405
26075,48158,0.000373005,0.000000000,0.000000000,0.000336243
26075,49263,0.000439613,0.000000000,0.000754717,0.000420304
26075,49283,0.023619215,0.024473637,0.021886792,0.023621102
26075,49246,0.020461993,0.004498830,0.004150943,0.018877667
26075,49284,0.012335811,0.004318877,0.005283019,0.011576381
26075,49272,0.015386460,0.004678784,0.003396226,0.014290346
26075,49203,0.231502944,0.208025913,0.300754717,0.232140069
26075,49250,0.000852583,0.000359906,0.000000000,0.000792574
26075,49202,0.129899022,0.241857117,0.215849057,0.140105436
26075,49233,0.002331282,0.001259672,0.000000000,0.002185582
26075,49234,0.018850079,0.007917941,0.003773585,0.017640772
26075,49240,0.057123065,0.034191110,0.026792453,0.054627550
26075,49230,0.060266965,0.034730970,0.015471698,0.057137367
26075,49237,0.017464631,0.007737988,0.008301887,0.016523963
26075,49241,0.015120028,0.005758503,0.001132075,0.014050172
26075,49249,0.002104814,0.000000000,0.000000000,0.001897374
26075,48827,0.000386327,0.000179953,0.000000000,0.000360261
26075,49224,0.010910399,0.004138924,0.002264151,0.010183373
26075,49261,0.008605760,0.015835883,0.003018868,0.008910451
26077,49041,0.003974035,0.008401008,0.000133905,0.004106313
26077,49034,0.007713351,0.001306823,0.000803428,0.006865021
26077,49012,0.013039044,0.004853916,0.001874665,0.011832107
26077,49005,0.006288850,0.019042285,0.000267809,0.006935576
26077,49072,0.000024281,0.000000000,0.000000000,0.000021167
26077,49009,0.167217042,0.096144871,0.163229780,0.161634905
26077,49004,0.062807563,0.028656772,0.029191216,0.058454982
26077,49002,0.077141608,0.115933912,0.065881093,0.079480432
26077,49024,0.102507446,0.091104266,0.086904124,0.100823379
26077,49048,0.091880342,0.086157006,0.117836101,0.092815364
26077,49006,0.094187063,0.041818352,0.125066952,0.091855813
26077,49088,0.012666731,0.000933445,0.000000000,0.011112444
26077,49097,0.039359946,0.021189209,0.016871987,0.036801592
26077,49065,0.000210438,0.000000000,0.000000000,0.000183444
26077,49087,0.023900868,0.020722487,0.005623996,0.022697607
26077,49008,0.063827376,0.061514048,0.081681843,0.064593285
26077,49077,0.002630471,0.012788201,0.000267809,0.003273761
26077,49083,0.030748187,0.035004201,0.032538832,0.031164231
26077,49078,0.001473064,0.000000000,0.000000000,0.001284105
26077,49074,0.000000000,0.000093345,0.000000000,0.000007056
26077,49015,0.000032375,0.000000000,0.000000000,0.000028222
26077,49060,0.003237503,0.001120134,0.000267809,0.002920985
26077,49081,0.009089290,0.042098385,0.000267809,0.011119499
26077,49052,0.002347190,0.001213479,0.000000000,0.002137823
26077,49007,0.045284577,0.136749743,0.120112480,0.056140772
26077,49080,0.004864349,0.000186689,0.000267809,0.004268590
26077,49003,0.006305038,0.022496033,0.000267809,0.007210741
26077,49053,0.028222934,0.020162419,0.014193894,0.026874475
26077,49071,0.007001101,0.000186689,0.000267809,0.006131247
26077,49001,0.082070707,0.104172501,0.135913230,0.086578285
