Zip,Population Total,Slab 1,Slab 2,Slab 3,Slab 4,Slab 5,Slab 6
52623,940,0.319148936,0.234042553,0.180851064,0.106382979,0.159574468,0
52624,190,0.315789474,0.263157895,0.210526316,0.210526316,0,0
52625,1220,0.303278689,0.254098361,0.172131148,0.12295082,0.147540984,0
52626,530,0.396226415,0.283018868,0.188679245,0.075471698,0.056603774,0
52627,5530,0.379746835,0.27124774,0.150090416,0.090415913,0.090415913,0.018083183
52630,160,0.375,0.3125,0.1875,0.125,0,0
52632,5290,0.429111531,0.24952741,0.145557656,0.083175803,0.079395085,0.013232514
52635,290,0.344827586,0.344827586,0.172413793,0.137931034,0,0
52637,1190,0.31092437,0.235294118,0.168067227,0.134453782,0.12605042,0.025210084
52638,250,0.32,0.24,0.2,0.12,0.12,0
52639,880,0.352272727,0.25,0.193181818,0.102272727,0.102272727,0
52640,590,0.322033898,0.271186441,0.169491525,0.118644068,0.118644068,0
52641,5210,0.349328215,0.272552783,0.153550864,0.101727447,0.103646833,0.019193858
52644,190,0.263157895,0.368421053,0.157894737,0.210526316,0,0
52645,1460,0.328767123,0.260273973,0.171232877,0.116438356,0.123287671,0
52646,190,0.315789474,0.315789474,0.157894737,0.105263158,0.105263158,0
52647,120,0.333333333,0.416666667,0.25,0,0,0
52649,430,0.325581395,0.302325581,0.186046512,0.093023256,0.093023256,0
52650,400,0.25,0.275,0.175,0.15,0.15,0
52651,270,0.333333333,0.296296296,0.185185185,0.111111111,0.074074074,0
52653,1510,0.331125828,0.251655629,0.158940397,0.125827815,0.132450331,0
52654,700,0.314285714,0.271428571,0.185714286,0.128571429,0.1,0
52655,2020,0.351485149,0.257425743,0.163366337,0.108910891,0.094059406,0.024752475
52656,1090,0.293577982,0.211009174,0.174311927,0.146788991,0.146788991,0.027522936
52658,520,0.288461538,0.230769231,0.173076923,0.115384615,0.192307692,0
52659,670,0.328358209,0.268656716,0.164179104,0.104477612,0.134328358,0
52660,130,0.230769231,0.461538462,0,0.307692308,0,0
52720,420,0.285714286,0.285714286,0.166666667,0.142857143,0.119047619,0
52721,360,0.25,0.25,0.222222222,0.138888889,0.138888889,0
52722,18700,0.280748663,0.178609626,0.140641711,0.109090909,0.202673797,0.088235294
52726,2250,0.24,0.182222222,0.151111111,0.146666667,0.24,0.04
52727,210,0.333333333,0.142857143,0.19047619,0.142857143,0.19047619,0
52728,510,0.352941176,0.294117647,0.156862745,0.117647059,0.078431373,0
52729,390,0.307692308,0.230769231,0.205128205,0.128205128,0.128205128,0
52730,2400,0.3375,0.2375,0.166666667,0.125,0.116666667,0.016666667
52731,380,0.315789474,0.289473684,0.131578947,0.131578947,0.131578947,0
52732,11870,0.406908172,0.247683235,0.144060657,0.092670598,0.093513058,0.01516428
52737,190,0.315789474,0.368421053,0.157894737,0.157894737,0,0
52738,1590,0.295597484,0.34591195,0.157232704,0.100628931,0.100628931,0
52739,330,0.333333333,0.333333333,0.181818182,0.090909091,0.060606061,0
52742,3660,0.308743169,0.204918033,0.155737705,0.133879781,0.166666667,0.030054645
52745,320,0.3125,0.21875,0.1875,0.125,0.15625,0
52746,450,0.288888889,0.2,0.155555556,0.133333333,0.222222222,0
52747,1070,0.299065421,0.196261682,0.168224299,0.140186916,0.168224299,0.028037383
52748,4450,0.276404494,0.193258427,0.141573034,0.123595506,0.215730337,0.049438202
52749,460,0.282608696,0.195652174,0.195652174,0.152173913,0.173913043,0
52750,270,0.333333333,0.222222222,0.148148148,0.148148148,0.148148148,0
52751,500,0.28,0.26,0.2,0.12,0.14,0
52752,230,0.304347826,0.304347826,0.217391304,0.173913043,0,0
52753,2740,0.255474453,0.167883212,0.138686131,0.124087591,0.237226277,0.076642336
52754,590,0.254237288,0.288135593,0.169491525,0.118644068,0.169491525,0
52755,960,0.270833333,0.28125,0.166666667,0.114583333,0.166666667,0
52756,1040,0.269230769,0.163461538,0.153846154,0.144230769,0.230769231,0.038461538
52757,150,0.4,0.2,0.2,0.2,0,0
52758,110,0.272727273,0.272727273,0.181818182,0.272727273,0,0
52760,290,0.275862069,0.24137931,0.172413793,0.137931034,0.172413793,0
52761,14350,0.342160279,0.269686411,0.15261324,0.10174216,0.109407666,0.024390244
52765,200,0.25,0.25,0.2,0.15,0.15,0
52766,370,0.297297297,0.27027027,0.162162162,0.108108108,0.162162162,0
52767,220,0.363636364,0.181818182,0.136363636,0.090909091,0.227272727,0
52768,670,0.298507463,0.194029851,0.179104478,0.149253731,0.149253731,0.029850746
52769,310,0.322580645,0.258064516,0.193548387,0.096774194,0.129032258,0
52772,2420,0.289256198,0.252066116,0.169421488,0.119834711,0.144628099,0.024793388
52773,1140,0.307017544,0.245614035,0.166666667,0.122807018,0.131578947,0.026315789
52776,2310,0.311688312,0.294372294,0.151515152,0.103896104,0.121212121,0.017316017
52777,620,0.35483871,0.258064516,0.193548387,0.096774194,0.096774194,0
52778,1880,0.292553191,0.244680851,0.164893617,0.143617021,0.138297872,0.015957447
52801,650,0.430769231,0.276923077,0.184615385,0.046153846,0.061538462,0
52802,4450,0.498876404,0.303370787,0.119101124,0.04494382,0.033707865,0
52803,10070,0.403177756,0.258192651,0.142999007,0.082423039,0.094339623,0.018867925
52804,12260,0.378466558,0.271615008,0.159053834,0.096247961,0.085644372,0.008972268
52806,13070,0.355776588,0.252486611,0.156082632,0.103289977,0.122417751,0.009946442
52807,7230,0.312586445,0.197786999,0.121715076,0.098201936,0.199170124,0.070539419
53001,980,0.295918367,0.224489796,0.173469388,0.142857143,0.163265306,0
53002,1200,0.283333333,0.225,0.166666667,0.141666667,0.166666667,0.016666667
53003,110,0.272727273,0.363636364,0.363636364,0,0,0
53004,1750,0.302857143,0.217142857,0.171428571,0.12,0.16,0.028571429
53005,10490,0.242135367,0.147759771,0.133460439,0.118207817,0.2564347,0.102001907
53006,920,0.304347826,0.217391304,0.163043478,0.141304348,0.152173913,0.02173913
53007,1020,0.333333333,0.303921569,0.166666667,0.107843137,0.088235294,0
53010,3810,0.30183727,0.233595801,0.170603675,0.125984252,0.146981627,0.020997375
53011,1150,0.304347826,0.252173913,0.156521739,0.139130435,0.12173913,0.026086957
53012,9590,0.285714286,0.165797706,0.12721585,0.109489051,0.214807091,0.096976017
53013,1710,0.30994152,0.216374269,0.152046784,0.128654971,0.157894737,0.035087719
53014,3900,0.302564103,0.271794872,0.166666667,0.120512821,0.115384615,0.023076923
53015,1270,0.267716535,0.25984252,0.173228346,0.149606299,0.133858268,0.015748031
53016,210,0.333333333,0.333333333,0.19047619,0.142857143,0,0
53017,2850,0.256140351,0.154385965,0.115789474,0.129824561,0.249122807,0.094736842
53018,3980,0.286432161,0.145728643,0.123115578,0.087939698,0.206030151,0.150753769
53019,970,0.298969072,0.24742268,0.175257732,0.12371134,0.134020619,0.020618557
53020,1840,0.27173913,0.190217391,0.163043478,0.141304348,0.190217391,0.043478261
53021,2310,0.272727273,0.220779221,0.164502165,0.134199134,0.181818182,0.025974026
53022,10140,0.289940828,0.192307692,0.142011834,0.109467456,0.210059172,0.056213018
53023,690,0.333333333,0.188405797,0.173913043,0.130434783,0.173913043,0
53024,9280,0.28987069,0.199353448,0.145474138,0.109913793,0.193965517,0.061422414
53027,11480,0.296167247,0.219512195,0.164634146,0.12195122,0.166376307,0.031358885
53029,10400,0.282692308,0.164423077,0.118269231,0.102884615,0.201923077,0.129807692
53031,160,0.375,0.1875,0.25,0,0.1875,0
53032,2480,0.290322581,0.298387097,0.169354839,0.125,0.116935484,0
53033,2730,0.241758242,0.164835165,0.120879121,0.139194139,0.252747253,0.080586081
53034,940,0.308510638,0.287234043,0.170212766,0.117021277,0.117021277,0
53035,1130,0.274336283,0.247787611,0.194690265,0.132743363,0.150442478,0
53036,1580,0.246835443,0.215189873,0.164556962,0.151898734,0.202531646,0.018987342
53037,5130,0.280701754,0.20662768,0.167641326,0.124756335,0.187134503,0.033138402
53038,2020,0.272277228,0.237623762,0.148514851,0.143564356,0.173267327,0.024752475
53039,2050,0.312195122,0.248780488,0.175609756,0.131707317,0.112195122,0.019512195
53040,4130,0.300242131,0.220338983,0.157384988,0.133171913,0.167070218,0.021791768
53042,3430,0.311953353,0.244897959,0.163265306,0.131195335,0.12244898,0.026239067
53044,1150,0.269565217,0.113043478,0.139130435,0.12173913,0.226086957,0.130434783
53045,11480,0.256097561,0.132404181,0.115853659,0.103658537,0.232578397,0.159407666
53046,680,0.308823529,0.235294118,0.161764706,0.117647059,0.176470588,0
53047,100,0.3,0.4,0,0.3,0,0
53048,1680,0.321428571,0.267857143,0.178571429,0.119047619,0.101190476,0.011904762
53049,1230,0.260162602,0.219512195,0.154471545,0.138211382,0.195121951,0.032520325
53050,3570,0.308123249,0.257703081,0.173669468,0.12605042,0.120448179,0.014005602
53051,19360,0.270661157,0.196797521,0.145661157,0.118285124,0.200413223,0.068181818
53057,760,0.263157895,0.236842105,0.157894737,0.157894737,0.184210526,0
53058,1680,0.285714286,0.172619048,0.130952381,0.083333333,0.202380952,0.125
53059,940,0.29787234,0.223404255,0.159574468,0.138297872,0.159574468,0.021276596
53061,2440,0.31147541,0.258196721,0.159836066,0.143442623,0.114754098,0.012295082
53063,760,0.315789474,0.210526316,0.157894737,0.131578947,0.144736842,0.039473684
53065,1050,0.285714286,0.228571429,0.161904762,0.152380952,0.171428571,0
53066,17650,0.278753541,0.179603399,0.135977337,0.10878187,0.212464589,0.084419263
53069,480,0.291666667,0.229166667,0.125,0.104166667,0.145833333,0.104166667
53070,2340,0.294871795,0.222222222,0.179487179,0.145299145,0.132478632,0.025641026
53072,13890,0.26061915,0.182145428,0.141108711,0.104391649,0.198704104,0.113030958
53073,7480,0.331550802,0.22459893,0.161764706,0.112299465,0.137700535,0.032085561
53074,6710,0.31147541,0.222056632,0.163934426,0.111773472,0.159463487,0.031296572
53075,1680,0.291666667,0.244047619,0.18452381,0.125,0.136904762,0.017857143
53076,1980,0.287878788,0.146464646,0.116161616,0.116161616,0.252525253,0.080808081
53078,1010,0.297029703,0.178217822,0.168316832,0.148514851,0.178217822,0.02970297
53079,750,0.28,0.186666667,0.16,0.186666667,0.186666667,0
53080,2990,0.314381271,0.25083612,0.153846154,0.107023411,0.150501672,0.023411371
53081,21080,0.393263757,0.288425047,0.151802657,0.086812144,0.069259962,0.010436433
53083,10750,0.31627907,0.225116279,0.158139535,0.124651163,0.141395349,0.034418605
53085,5990,0.318864775,0.228714524,0.168614357,0.130217028,0.130217028,0.023372287
53086,4410,0.274376417,0.201814059,0.158730159,0.117913832,0.204081633,0.0430839
53088,190,0.315789474,0.263157895,0.157894737,0.263157895,0,0
53089,9630,0.27933541,0.171339564,0.132917965,0.116303219,0.231568017,0.068535826
53090,10820,0.3012939,0.236598891,0.173752311,0.125693161,0.143253235,0.019408503
53091,1100,0.318181818,0.245454545,0.172727273,0.136363636,0.127272727,0
53092,10770,0.254410399,0.126276695,0.107706592,0.092850511,0.221912721,0.196843083
53093,840,0.30952381,0.19047619,0.154761905,0.178571429,0.166666667,0
53094,8910,0.354657688,0.2671156,0.160493827,0.107744108,0.096520763,0.013468013
53095,14070,0.31130064,0.225302061,0.150675195,0.115849325,0.15565032,0.041222459
53097,2660,0.240601504,0.12406015,0.109022556,0.097744361,0.229323308,0.19924812
53098,5820,0.336769759,0.249140893,0.16838488,0.115120275,0.113402062,0.017182131
53103,1960,0.265306122,0.178571429,0.158163265,0.137755102,0.214285714,0.045918367
53104,2940,0.31292517,0.197278912,0.156462585,0.102040816,0.180272109,0.051020408
53105,14530,0.328974535,0.223675155,0.142463868,0.112181693,0.16035788,0.032346869
53108,1770,0.288135593,0.209039548,0.15819209,0.118644068,0.175141243,0.050847458
