Zip,Slab 1 - Medical Tax Credit V2,Slab 2 - Medical Tax Credit V2,Slab 3 - Medical Tax Credit V2,Slab 4 - Medical Tax Credit V2,Slab 5 - Medical Tax Credit V2,Slab 6 - Medical Tax Credit V2,Total Medical Tax Credit V2
97051,0.009459459,0.010810811,0.006756757,0,0,0,0.027027027
97053,0.013245033,0.01986755,0,0,0,0,0.033112583
97054,0,0,0,0,0,0,0
97055,0.011235955,0.013483146,0.005617978,0.002247191,0,0,0.03258427
97056,0.013490725,0.011804384,0.008431703,0,0,0,0.033726813
97058,0.012972973,0.016216216,0.008648649,0,0,0,0.037837838
97060,0.010152284,0.012182741,0.005076142,0,0,0,0.027411168
97062,0.009122807,0.009122807,0.003508772,0.001403509,0.001403509,0,0.024561404
97063,0,0.078431373,0,0,0,0,0.078431373
97064,0,0.032679739,0,0,0,0,0.032679739
97065,0,0,0,0,0,0,0
97067,0.016393443,0.024590164,0,0,0,0,0.040983607
97068,0.010853835,0.010853835,0.004341534,0.002170767,0.002170767,0,0.030390738
97070,0.010333863,0.009538951,0.004769475,0.00317965,0,0,0.02782194
97071,0.009577015,0.012769354,0.003990423,0.001596169,0,0,0.027932961
97080,0.010230179,0.011764706,0.004092072,0.001534527,0.001023018,0,0.028644501
97086,0.010940919,0.010940919,0.005105762,0.002188184,0.002917578,0,0.032093363
97089,0.011608624,0.009950249,0.006633499,0.004975124,0,0,0.033167496
97101,0,0.029585799,0,0,0,0,0.029585799
97103,0.016089109,0.016089109,0.007425743,0.003712871,0,0,0.043316832
97106,0,0.017777778,0.013333333,0,0,0,0.031111111
97107,0.041666667,0,0,0,0,0,0.041666667
97108,0,0,0,0,0,0,0
97109,0,0,0,0,0,0,0
97110,0,0.057471264,0,0,0,0,0.057471264
97111,0,0.03125,0,0,0,0,0.03125
97112,0.037037037,0,0,0,0,0,0.037037037
97113,0.009160305,0.010687023,0.004580153,0,0,0,0.024427481
97114,0,0.02173913,0.008695652,0,0,0,0.030434783
97115,0,0.03,0,0,0,0,0.03
97116,0.012323944,0.013204225,0.006161972,0,0,0,0.031690141
97117,0,0,0,0,0,0,0
97118,0,0,0,0,0,0,0
97119,0.014285714,0.023809524,0,0,0,0,0.038095238
97121,0,0,0,0,0,0,0
97122,0,0,0,0,0,0,0
97123,0.009799347,0.010265982,0.00419972,0.000933271,0.000933271,0,0.026131591
97124,0.01026694,0.009445585,0.002874743,0.000821355,0.000821355,0,0.024229979
97127,0.010362694,0.020725389,0,0,0,0,0.031088083
97128,0.012158055,0.012765957,0.004863222,0.001215805,0.001215805,0,0.032218845
97130,0,0.070175439,0,0,0,0,0.070175439
97131,0.028037383,0.046728972,0,0,0,0,0.074766355
97132,0.011235955,0.012734082,0.003745318,0.002247191,0,0,0.029962547
97133,0.011857708,0.015810277,0,0,0,0,0.027667984
97134,0,0,0,0,0,0,0
97135,0.054545455,0,0,0,0,0,0.054545455
97136,0.024691358,0.037037037,0,0,0,0,0.061728395
97137,0,0,0,0,0,0,0
97138,0.020283976,0.020283976,0.010141988,0,0,0,0.050709939
97140,0.009717314,0.007067138,0.005300353,0.004416961,0,0,0.026501767
97141,0.013513514,0.013513514,0.006756757,0,0,0,0.033783784
97146,0.018927445,0.015772871,0.006309148,0,0,0,0.041009464
