FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13
13269,14.0,14.5,31.7,28.8
13271,11.6,12.3,30.0,30.9
13273,13.9,14.9,34.5,31.6
13275,13.2,14.0,31.4,34.0
13277,12.0,13.2,34.1,34.0
13279,12.7,13.6,29.7,31.5
13281,12.3,12.9,26.1,27.4
13283,11.9,12.3,31.2,32.9
13285,12.5,12.6,31.4,30.0
13287,13.4,14.3,31.8,34.6
13289,13.3,14.5,31.2,32.8
13291,13.5,15.9,27.2,27.2
13293,12.5,11.9,29.9,32.0
13295,12.2,12.4,29.6,32.1
13297,10.4,11.6,27.5,34.4
13299,12.4,12.3,29.2,35.5
13301,14.7,15.8,31.8,32.0
13303,13.3,13.0,32.1,32.2
13305,10.5,13.1,30.2,31.8
13307,13.4,14.6,31.6,32.1
13309,11.2,12.1,31.4,31.9
13311,10.3,12.6,27.0,28.6
13313,10.5,13.2,29.0,33.5
13315,12.0,11.4,32.2,31.5
13317,14.8,15.5,30.3,32.9
13319,13.1,14.8,31.4,34.5
13321,11.8,13.9,30.3,36.7
15001,7.2,8.1,22.2,22.7
15003,8.4,8.4,20.8,22.3
15005,11.5,11.3,23.6,21.5
15007,8.3,8.3,20.5,20.6
15009,7.6,7.7,22.9,22.4
16001,7.1,7.5,22.0,25.4
16003,8.8,11.6,29.4,27.6
16005,8.6,10.0,29.2,28.1
16007,8.3,8.9,23.2,28.7
16009,8.5,9.4,27.2,30.1
16011,10.8,9.9,29.6,33.3
16013,5.3,6.6,15.4,19.2
16015,8.8,9.6,28.9,22.4
16017,7.8,7.6,21.7,24.7
16019,8.5,8.5,25.9,29.4
16021,8.1,11.0,25.2,27.3
16023,9.9,9.5,27.2,28.5
16025,8.1,9.4,25.2,25.7
16027,8.3,9.5,29.5,33.4
16029,8.4,10.5,24.3,27.5
16031,9.9,9.0,29.9,30.5
16033,8.6,8.5,26.9,31.4
16035,10.1,11.1,27.0,30.6
16037,8.6,9.4,25.8,26.3
16039,8.3,8.6,29.5,29.8
16041,7.8,7.9,29.0,30.7
16043,7.8,9.0,21.5,28.9
16045,8.5,9.9,29.5,28.5
16047,8.6,9.8,27.5,30.0
16049,10.1,9.5,29.3,25.7
16051,7.9,8.8,27.8,32.7
16053,8.9,7.7,27.7,33.3
16055,8.0,9.6,24.5,25.0
16057,6.7,6.4,24.0,24.3
16059,8.2,12.1,25.7,26.8
16061,9.8,10.5,27.4,29.7
16063,8.1,8.3,29.6,32.3
16065,6.0,5.5,24.3,24.5
16067,11.3,10.8,30.0,34.2
16069,11.2,11.0,29.7,30.9
16071,9.2,12.2,26.7,31.3
16073,7.7,9.5,26.5,30.4
16075,8.5,9.2,27.4,33.3
16077,8.2,8.2,26.8,32.1
16079,8.8,10.2,29.8,31.1
16081,6.6,6.0,20.5,24.1
16083,9.5,8.7,25.7,27.6
16085,8.6,8.4,27.4,24.1
16087,10.1,11.2,25.2,30.3
17001,9.0,10.1,26.5,37.0
17003,11.0,11.4,28.2,28.4
17005,8.8,10.0,27.9,29.6
17007,7.2,9.4,27.0,33.7
17009,7.9,8.2,28.1,27.6
17011,9.0,11.3,26.7,29.1
17013,9.6,11.4,26.7,29.1
17015,9.6,12.2,26.7,28.6
17017,8.6,10.6,27.6,28.0
17019,7.4,7.4,26.8,25.1
17021,8.9,10.5,27.1,31.7
17023,9.0,11.5,27.4,32.7
17025,8.9,10.8,27.4,31.0
17027,8.5,8.7,27.6,29.5
17029,7.4,8.9,26.6,26.3
17031,8.7,8.5,25.2,25.3
17033,8.7,10.6,27.2,31.3
17035,9.0,11.1,27.4,27.8
17037,6.9,8.3,26.6,28.3
17039,8.6,10.8,26.8,30.5
17041,8.7,10.8,28.3,30.5
17043,7.5,8.1,24.6,23.0
17045,9.5,10.1,27.5,30.3
17047,9.1,10.5,27.2,31.3
17049,8.6,10.7,27.1,31.8
17051,8.3,10.3,26.9,33.0
17053,9.3,10.6,27.5,28.2
17055,9.5,11.6,27.0,30.2
17057,8.9,11.6,27.4,30.7
17059,9.5,10.8,26.7,28.4
17061,9.2,11.5,28.2,28.7
17063,7.5,8.6,28.4,30.4
17065,9.5,11.1,27.0,28.2
17067,9.2,11.2,26.6,28.6
17069,9.1,13.0,27.2,30.6
17071,9.5,11.8,27.7,30.4
17073,8.8,11.1,27.0,30.5
17075,9.3,12.4,27.7,33.9
17077,7.3,9.0,26.9,31.5
17079,9.0,10.2,27.1,30.2
17081,9.0,11.1,27.9,30.2
17083,8.3,10.4,26.6,33.0
17085,9.2,13.0,26.3,29.5
17087,8.2,10.5,27.4,29.4
17089,7.1,7.7,27.9,25.3
17091,9.0,9.1,28.2,30.1
17093,6.0,8.3,24.9,33.7
17095,9.2,9.8,28.1,26.2
17097,7.6,8.4,24.8,28.4
17099,9.1,10.4,27.1,27.1
17101,8.7,11.7,27.1,28.9
17103,8.7,10.1,27.0,32.6
17105,9.1,9.5,27.4,29.2
17107,8.3,9.8,28.8,29.2
17109,7.5,9.3,27.9,26.8
17111,6.9,10.1,26.5,27.7
17113,7.3,7.0,27.8,29.3
17115,9.4,10.0,29.7,29.7
17117,9.0,10.5,28.6,31.0
17119,9.4,10.0,28.3,32.3
17121,9.0,10.5,27.2,33.5
17123,9.0,11.2,27.1,29.1
17125,9.2,11.1,28.5,31.7
17127,9.5,11.2,27.8,30.7
17129,8.3,10.2,27.3,28.3
17131,8.9,11.4,27.4,31.2
17133,7.9,11.4,26.8,33.2
17135,9.1,10.8,26.3,31.3
17137,8.8,11.3,27.3,28.8
17139,9.1,10.2,26.8,28.6
17141,8.3,10.4,27.0,31.2
17143,9.7,9.6,27.2,28.8
17145,8.7,10.6,27.8,29.1
17147,8.9,10.7,27.4,29.0
17149,9.1,12.0,26.2,32.6
17151,9.6,10.9,27.3,29.5
17153,11.0,12.1,28.2,27.3
17155,9.2,10.5,27.2,29.9
17157,8.2,10.1,27.3,27.7
17159,9.9,11.0,28.4,28.8
17161,9.0,10.8,27.0,31.7
17163,9.4,12.7,28.4,33.2
17165,9.8,12.0,26.7,30.1
17167,9.6,10.7,28.8,28.5
17169,9.1,10.6,26.4,31.7
17171,9.4,9.9,27.2,30.4
17173,9.1,10.1,26.9,30.6
